method,n,d,instance_id,LB,UB,Cuts,TotalTime,Gap%,Cost,FirstStageTime,SecondStageTime
Matheuristic,500,AD_1,"SWNN500DAD_1R3e-05P(25, 200)I1",,,,45.92291021347046,,2035052.0,4.790696144104004,41.132214069366455
ILP,500,AD_1,"SWNN500DAD_1R3e-05P(25, 200)I2",2067055.8500000013,2067108.0,5.0,106.92094016075134,0.002522848346518,,,
MILP,500,AD_1,"SWNN500DAD_1R3e-05P(25, 200)I2",2067055.5833333335,2067157.0,8.0,212.5076069831848,0.004906094054129,,,
Matheuristic,500,AD_1,"SWNN500DAD_1R3e-05P(25, 200)I2",,,,29.50317096710205,,2042657.0,8.634875059127808,20.868295907974243
ILP,400,AD_1,"SWNN400DAD_1R1e-05P(25, 200)I0",234553.0,234570.0,8.0,28.11314392089844,0.0072473035767574,,,
MILP,400,AD_1,"SWNN400DAD_1R1e-05P(25, 200)I0",234558.7692307692,234573.0,23.0,229.980966091156,0.0060666697491955,,,
Matheuristic,400,AD_1,"SWNN400DAD_1R1e-05P(25, 200)I0",,,,8.398926973342896,,264746.0,6.594141960144043,1.8047850131988523
ILP,400,AD_1,"SWNN400DAD_1R1e-05P(25, 200)I1",236904.0,236916.0,6.0,63.85360288619995,0.0050650863597224,,,
MILP,400,AD_1,"SWNN400DAD_1R1e-05P(25, 200)I1",236907.0,236926.0,5.0,14.52698016166687,0.0080193815790584,,,
Matheuristic,400,AD_1,"SWNN400DAD_1R1e-05P(25, 200)I1",,,,6.861885070800781,,268423.0,3.618698120117187,3.2431869506835938
ILP,400,AD_1,"SWNN400DAD_1R1e-05P(25, 200)I2",235823.0,235839.0,20.0,133.90691900253296,0.0067842892820949,,,
MILP,400,AD_1,"SWNN400DAD_1R1e-05P(25, 200)I2",235813.0,235832.0,19.0,127.35174989700316,0.0080565826520573,,,
Matheuristic,400,AD_1,"SWNN400DAD_1R1e-05P(25, 200)I2",,,,9.929359197616575,,267539.0,5.788279056549072,4.141080141067505
ILP,400,AD_1,"SWNN400DAD_1R2e-05P(25, 200)I0",527458.3636363641,527510.0,12.0,108.88349604606628,0.0097886985338453,,,
MILP,400,AD_1,"SWNN400DAD_1R2e-05P(25, 200)I0",527478.5227272727,527510.0,23.0,111.9962248802185,0.0059671423721434,,,
Matheuristic,400,AD_1,"SWNN400DAD_1R2e-05P(25, 200)I0",,,,20.774936199188232,,536644.0,6.749949216842651,14.02498698234558
ILP,400,AD_1,"SWNN400DAD_1R2e-05P(25, 200)I1",526904.0,526904.0,1.0,2.555532217025757,0.0,,,
MILP,400,AD_1,"SWNN400DAD_1R2e-05P(25, 200)I1",526904.0,526904.0,1.0,1.5772221088409424,0.0,,,
Matheuristic,400,AD_1,"SWNN400DAD_1R2e-05P(25, 200)I1",,,,15.814695119857788,,536136.0,1.7372620105743408,14.077433109283447
ILP,400,AD_1,"SWNN400DAD_1R2e-05P(25, 200)I2",528772.1219512194,528803.0,3.0,10.913111925125122,0.0058392347964378,,,
MILP,400,AD_1,"SWNN400DAD_1R2e-05P(25, 200)I2",528772.9333333332,528803.0,4.0,30.416980028152462,0.0056857972944116,,,
Matheuristic,400,AD_1,"SWNN400DAD_1R2e-05P(25, 200)I2",,,,4.641362905502319,,538579.0,2.883448839187622,1.7579140663146973
ILP,400,AD_1,"SWNN400DAD_1R3e-05P(25, 200)I0",824907.0,824907.0,1.0,5.57352089881897,0.0,,,
MILP,400,AD_1,"SWNN400DAD_1R3e-05P(25, 200)I0",824907.0,824907.0,1.0,3.1953799724578857,0.0,,,
Matheuristic,400,AD_1,"SWNN400DAD_1R3e-05P(25, 200)I0",,,,7.238553047180176,,806595.0,1.935910940170288,5.302642107009888
