method,n,d,instance_id,LB,UB,Cuts,TotalTime,Gap%,Cost,FirstStageTime,SecondStageTime
MILP,100,0.1,"RNDN100D0.1R0.002P(100, 200)I2",94594.0,94594.0,10.0,1.11415696144104,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.002P(100, 200)I2",,,,2.12434458732605,,97012.0,2.1122748851776123,0.0120697021484375
ILP,100,0.1,"RNDN100D0.1R0.003P(25, 125)I0",71644.0,71644.0,22.0,25.70061707496643,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.003P(25, 125)I0",71644.0,71644.0,25.0,20.154319047927856,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.003P(25, 125)I0",,,,13.004560708999634,,72991.0,12.994160890579224,0.0103998184204101
ILP,100,0.1,"RNDN100D0.1R0.003P(25, 125)I1",74303.0,74303.0,25.0,6.6743810176849365,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.003P(25, 125)I1",74303.00000000003,74303.0,15.0,5.720232963562012,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.003P(25, 125)I1",,,,4.434298992156982,,74300.0,4.418254137039185,0.0160448551177978
ILP,100,0.1,"RNDN100D0.1R0.003P(25, 125)I2",75022.0,75022.0,29.0,52.875657081604,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.003P(25, 125)I2",75021.99999999993,75022.0,22.0,21.809624910354614,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.003P(25, 125)I2",,,,17.539931297302246,,73732.0,17.522269010543823,0.0176622867584228
ILP,100,0.1,"RNDN100D0.1R0.003P(50, 150)I0",98807.0,98807.0,28.0,34.54204320907593,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.003P(50, 150)I0",98807.0,98807.0,17.0,21.13670587539673,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.003P(50, 150)I0",,,,5.336062908172607,,97698.0,5.3031628131866455,0.0329000949859619
ILP,100,0.1,"RNDN100D0.1R0.003P(50, 150)I1",95869.0,95878.0,14.0,28.26141881942749,0.0093869292225536,,,
MILP,100,0.1,"RNDN100D0.1R0.003P(50, 150)I1",95878.0,95878.0,18.0,11.351438999176024,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.003P(50, 150)I1",,,,7.054659843444824,,97552.0,7.049964904785156,0.0046949386596679
ILP,100,0.1,"RNDN100D0.1R0.003P(50, 150)I2",98351.0,98351.0,19.0,40.98574495315552,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.003P(50, 150)I2",98351.0,98351.0,10.0,22.77487802505493,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.003P(50, 150)I2",,,,15.948561906814575,,96791.0,15.92833685874939,0.0202250480651855
ILP,100,0.1,"RNDN100D0.1R0.003P(75, 175)I0",123898.0,123898.0,20.0,34.258081912994385,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.003P(75, 175)I0",123898.0,123898.0,11.0,21.67580795288086,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.003P(75, 175)I0",,,,11.680325984954834,,124528.0,11.629520893096924,0.0508050918579101
ILP,100,0.1,"RNDN100D0.1R0.003P(75, 175)I1",122037.0,122037.0,26.0,25.665565013885494,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.003P(75, 175)I1",122037.0,122037.0,24.0,12.132983207702637,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.003P(75, 175)I1",,,,7.087780952453613,,122087.0,7.07561993598938,0.0121610164642333
ILP,100,0.1,"RNDN100D0.1R0.003P(75, 175)I2",120333.0,120333.0,23.0,9.655894994735718,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.003P(75, 175)I2",120333.0,120333.0,18.0,6.504292011260986,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.003P(75, 175)I2",,,,4.035171747207642,,122210.0,4.009976863861084,0.0251948833465576
ILP,100,0.1,"RNDN100D0.1R0.003P(100, 200)I0",147936.0,147936.0,29.0,45.26647901535034,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.003P(100, 200)I0",147936.0,147936.0,16.0,31.26866388320923,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.003P(100, 200)I0",,,,14.842905044555664,,149688.0,14.83872103691101,0.0041840076446533
ILP,100,0.1,"RNDN100D0.1R0.003P(100, 200)I1",148118.0,148118.0,26.0,17.92464590072632,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.003P(100, 200)I1",148118.0,148118.0,21.0,8.174733877182007,0.0,,,
Matheuristic,100,0.1,"RNDN100D0.1R0.003P(100, 200)I1",,,,3.8828859329223633,,144274.0,3.835734844207764,0.0471510887145996
ILP,100,0.1,"RNDN100D0.1R0.003P(100, 200)I2",146363.0,146363.0,31.0,11.673660039901732,0.0,,,
MILP,100,0.1,"RNDN100D0.1R0.003P(100, 200)I2",146363.0,146363.0,26.0,10.11998200416565,0.0,,,
